                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
66,0.029874,0.031395,0.037234,0.0076215,0.52581,0.38433,0.38084,0.23243,0.4884,0.41384,0.36684,0.19871,0.035553,0.041838,0.059427,0.016489,0.0083913,0.0083913,0.0083913
42,0.034604,0.035081,0.042335,0.0099528,0.38441,0.44346,0.3315,0.19081,0.3775,0.43788,0.31108,0.16138,0.03513,0.042237,0.052212,0.041231,0.0089853,0.0089853,0.0089853
65,0.032559,0.031467,0.03583,0.009544,0.48799,0.47729,0.42386,0.22163,0.45791,0.45245,0.38989,0.18158,0.036432,0.042279,0.057841,0.018052,0.008416,0.008416,0.008416
103,0.027927,0.029765,0.032877,0.0060994,0.48583,0.53094,0.45886,0.27946,0.44774,0.49635,0.42235,0.23027,0.034628,0.042533,0.063654,0.026308,0.0074755,0.0074755,0.0074755
102,0.026176,0.02726,0.029119,0.0062592,0.57185,0.36379,0.42925,0.24656,0.4638,0.45257,0.41319,0.21106,0.034719,0.042652,0.068004,0.028922,0.0075003,0.0075003,0.0075003
75,0.030444,0.030803,0.035902,0.0070573,0.49586,0.37143,0.34943,0.19689,0.44604,0.46934,0.36763,0.16685,0.040159,0.042765,0.060236,0.020439,0.0081685,0.0081685,0.0081685
101,0.027128,0.028181,0.032945,0.0055379,0.5404,0.37421,0.38885,0.24353,0.5382,0.38258,0.38289,0.20496,0.034577,0.043096,0.070596,0.025227,0.007525,0.007525,0.007525
105,0.026653,0.027755,0.031069,0.0056777,0.46738,0.40458,0.41051,0.2519,0.45335,0.38585,0.38241,0.21391,0.035723,0.043321,0.068199,0.02265,0.007426,0.007426,0.007426
86,0.026879,0.030182,0.034309,0.0062066,0.43925,0.32869,0.34963,0.20434,0.45249,0.31048,0.31625,0.16725,0.037356,0.043334,0.067148,0.0381,0.0078963,0.0078963,0.0078963
49,0.034258,0.034057,0.040102,0.0081294,0.30786,0.4318,0.32323,0.17411,0.46138,0.32936,0.29146,0.1439,0.036025,0.043498,0.057229,0.03165,0.008812,0.008812,0.008812
43,0.034181,0.035637,0.040697,0.0095592,0.36765,0.37156,0.32385,0.17536,0.33541,0.35072,0.2921,0.15567,0.03703,0.043658,0.058934,0.036182,0.0089605,0.0089605,0.0089605
106,0.026423,0.029223,0.03051,0.0050852,0.45286,0.42782,0.38756,0.24536,0.43766,0.41179,0.36444,0.20359,0.03701,0.043754,0.06781,0.024559,0.0074013,0.0074013,0.0074013
44,0.032576,0.034031,0.040834,0.0090673,0.43491,0.38078,0.362,0.1919,0.44307,0.33922,0.32035,0.16097,0.037005,0.044012,0.053792,0.028542,0.0089358,0.0089358,0.0089358
87,0.027563,0.029536,0.032599,0.0063922,0.50488,0.43133,0.38984,0.23154,0.50728,0.41899,0.38369,0.18274,0.036385,0.04417,0.062505,0.018686,0.0078715,0.0078715,0.0078715
37,0.036834,0.038591,0.045009,0.011787,0.50152,0.21782,0.21297,0.10734,0.4892,0.20284,0.18888,0.087421,0.039936,0.0442,0.062037,0.036745,0.009109,0.009109,0.009109
82,0.028655,0.030891,0.033976,0.0073579,0.6707,0.33744,0.40798,0.2487,0.64356,0.32229,0.37382,0.19915,0.03589,0.044211,0.056819,0.033028,0.0079953,0.0079953,0.0079953
69,0.032197,0.030705,0.035437,0.0089039,0.47617,0.36957,0.35528,0.17789,0.43628,0.33889,0.31369,0.14183,0.041044,0.044336,0.063279,0.023827,0.008317,0.008317,0.008317
62,0.031685,0.032356,0.036434,0.0083272,0.41529,0.46,0.38726,0.22535,0.40965,0.47336,0.37696,0.18504,0.036517,0.044444,0.057985,0.016763,0.0084903,0.0084903,0.0084903
139,0.023691,0.026741,0.029599,0.0060166,0.5342,0.33547,0.34863,0.19421,0.59315,0.35744,0.37605,0.17929,0.037469,0.044448,0.075148,0.027557,0.0065845,0.0065845,0.0065845
118,0.026345,0.027379,0.030688,0.0059932,0.59508,0.37466,0.42029,0.25706,0.59801,0.37332,0.40674,0.22772,0.034437,0.044456,0.072546,0.019821,0.0071042,0.0071042,0.0071042
104,0.027773,0.028832,0.031654,0.0067167,0.6079,0.3442,0.39529,0.23895,0.44966,0.39293,0.39701,0.2044,0.037091,0.044472,0.069109,0.028574,0.0074507,0.0074507,0.0074507
50,0.03218,0.034258,0.041204,0.0089018,0.25588,0.26622,0.23722,0.12655,0.23963,0.24334,0.19628,0.09653,0.038191,0.044475,0.060861,0.028926,0.0087872,0.0087872,0.0087872
117,0.025932,0.027303,0.029978,0.0055789,0.49577,0.42881,0.3881,0.23099,0.50148,0.43174,0.37707,0.19765,0.035039,0.044539,0.068947,0.03203,0.007129,0.007129,0.007129
26,0.040523,0.041872,0.050292,0.013681,0.44328,0.4858,0.41438,0.19716,0.40596,0.45496,0.37867,0.1697,0.036457,0.044547,0.054664,0.030107,0.0093813,0.0093813,0.0093813
138,0.023311,0.027402,0.029926,0.0062108,0.4103,0.33581,0.35196,0.21478,0.42947,0.34793,0.34181,0.18374,0.035321,0.044575,0.074191,0.021671,0.0066092,0.0066092,0.0066092
145,0.024436,0.026746,0.028106,0.0055472,0.44471,0.37214,0.33909,0.19911,0.43719,0.38141,0.32232,0.17472,0.033829,0.044576,0.078107,0.019478,0.006436,0.006436,0.006436
51,0.033735,0.034625,0.041291,0.008398,0.30322,0.31141,0.2563,0.13392,0.30987,0.30563,0.23919,0.11569,0.038475,0.044605,0.062759,0.036021,0.0087625,0.0087625,0.0087625
38,0.036661,0.034306,0.04363,0.010156,0.33047,0.30443,0.23669,0.11845,0.30959,0.28196,0.22441,0.10723,0.041309,0.044651,0.055661,0.04119,0.0090843,0.0090843,0.0090843
81,0.027168,0.031133,0.035311,0.0078736,0.3999,0.45701,0.33903,0.21384,0.39389,0.44578,0.3238,0.15853,0.034874,0.044685,0.05835,0.035353,0.00802,0.00802,0.00802
123,0.02521,0.026633,0.029338,0.0062397,0.40012,0.4359,0.37835,0.23226,0.3983,0.42841,0.35513,0.19839,0.033193,0.044758,0.067249,0.021945,0.0069805,0.0069805,0.0069805
107,0.026603,0.028209,0.031599,0.005938,0.43582,0.4233,0.39863,0.24043,0.43211,0.41955,0.37938,0.20478,0.036844,0.044853,0.066224,0.025827,0.0073765,0.0073765,0.0073765
121,0.026001,0.027572,0.028928,0.0070994,0.4524,0.39624,0.44136,0.27021,0.45523,0.40355,0.40945,0.22797,0.03555,0.044896,0.070713,0.018567,0.00703,0.00703,0.00703
90,0.029285,0.02847,0.032743,0.0065452,0.34697,0.42535,0.33408,0.16811,0.32551,0.38871,0.2913,0.13866,0.037999,0.044912,0.059764,0.026907,0.0077973,0.0077973,0.0077973
71,0.031143,0.030412,0.035942,0.0082053,0.41795,0.41427,0.34664,0.17797,0.47155,0.42515,0.35461,0.14971,0.037912,0.044913,0.060686,0.024907,0.0082675,0.0082675,0.0082675
88,0.027628,0.030213,0.033302,0.0078345,0.46012,0.44964,0.40012,0.22889,0.44887,0.4371,0.3788,0.18211,0.036975,0.044915,0.060401,0.017086,0.0078467,0.0078467,0.0078467
108,0.025587,0.028544,0.031335,0.006678,0.6531,0.34255,0.39939,0.23442,0.62999,0.33505,0.36796,0.20868,0.037488,0.044964,0.073316,0.03484,0.0073517,0.0073517,0.0073517
109,0.027375,0.028778,0.032172,0.0064198,0.43594,0.44584,0.41456,0.26389,0.42732,0.4346,0.39126,0.22308,0.0351,0.045128,0.063831,0.037376,0.007327,0.007327,0.007327
61,0.030074,0.032903,0.035352,0.0092654,0.41538,0.41298,0.36715,0.21203,0.40296,0.40259,0.34855,0.17666,0.03581,0.045245,0.058126,0.015065,0.008515,0.008515,0.008515
74,0.0309,0.031717,0.037142,0.0076032,0.38522,0.42787,0.29631,0.16158,0.39893,0.44444,0.31337,0.14114,0.037608,0.045275,0.060292,0.030304,0.0081932,0.0081932,0.0081932
177,0.021764,0.024598,0.02621,0.0045344,0.6481,0.37972,0.42418,0.25152,0.61052,0.36473,0.40137,0.21217,0.03216,0.045322,0.086862,0.020691,0.005644,0.005644,0.005644
120,0.024982,0.027753,0.033299,0.004788,0.58493,0.41963,0.38411,0.22808,0.58363,0.41588,0.37835,0.20451,0.03546,0.045347,0.070131,0.026546,0.0070547,0.0070547,0.0070547
83,0.028797,0.030422,0.034706,0.0069084,0.56303,0.35061,0.37752,0.23837,0.53742,0.33128,0.34461,0.19068,0.033205,0.04537,0.059634,0.034534,0.0079705,0.0079705,0.0079705
85,0.027096,0.028852,0.03191,0.0064994,0.48261,0.39637,0.39796,0.23695,0.46168,0.37883,0.37082,0.19479,0.036952,0.04544,0.063057,0.03734,0.007921,0.007921,0.007921
45,0.036115,0.034438,0.040962,0.008718,0.32379,0.45075,0.34447,0.17002,0.3005,0.41616,0.29981,0.15276,0.038776,0.0455,0.052966,0.022307,0.008911,0.008911,0.008911
36,0.036708,0.036898,0.041599,0.011502,0.42218,0.38006,0.30655,0.15403,0.42936,0.38673,0.2859,0.12621,0.04096,0.04553,0.059153,0.017574,0.0091337,0.0091337,0.0091337
41,0.035274,0.035492,0.045481,0.0087421,0.31926,0.43835,0.26294,0.14936,0.2957,0.41213,0.23016,0.11382,0.036768,0.045533,0.056279,0.038855,0.00901,0.00901,0.00901
154,0.02334,0.025379,0.029017,0.0047795,0.53485,0.38633,0.39741,0.21812,0.49351,0.36093,0.34662,0.18029,0.034702,0.045551,0.071683,0.023653,0.0062132,0.0062132,0.0062132
172,0.023816,0.025744,0.028135,0.0051738,0.48904,0.46504,0.38297,0.2108,0.46133,0.44257,0.35251,0.19007,0.033398,0.045571,0.072615,0.034969,0.0057678,0.0057678,0.0057678
152,0.024447,0.026126,0.028541,0.004399,0.46534,0.3718,0.39307,0.23684,0.53489,0.33213,0.39063,0.19786,0.034113,0.045586,0.073141,0.03316,0.0062628,0.0062628,0.0062628
141,0.024665,0.026185,0.028946,0.0048217,0.54435,0.42963,0.42788,0.23643,0.50836,0.41635,0.39275,0.20859,0.032602,0.045603,0.069694,0.025072,0.006535,0.006535,0.006535
122,0.023923,0.026802,0.030121,0.0055285,0.45519,0.33459,0.31508,0.18203,0.41234,0.31293,0.27056,0.14824,0.032407,0.045635,0.069233,0.021474,0.0070053,0.0070053,0.0070053
176,0.021902,0.023825,0.026003,0.0060455,0.69504,0.36365,0.46492,0.26799,0.65029,0.34506,0.42832,0.23105,0.032912,0.045744,0.082533,0.021391,0.0056688,0.0056688,0.0056688
93,0.028225,0.029591,0.03497,0.00723,0.39223,0.35092,0.27941,0.1537,0.37158,0.34595,0.26341,0.12786,0.040537,0.045771,0.065072,0.026628,0.007723,0.007723,0.007723
174,0.02368,0.024939,0.027287,0.0044835,0.58907,0.42377,0.44433,0.24689,0.51989,0.38401,0.39923,0.21281,0.035607,0.045847,0.077481,0.024179,0.0057183,0.0057183,0.0057183
91,0.029545,0.028651,0.033874,0.0059764,0.34782,0.4436,0.32842,0.17082,0.35669,0.34592,0.27109,0.12604,0.038434,0.045943,0.058284,0.030455,0.0077725,0.0077725,0.0077725
171,0.021838,0.024299,0.027437,0.0040689,0.50664,0.44699,0.38561,0.22157,0.50095,0.41465,0.35593,0.19274,0.033324,0.045955,0.073229,0.029393,0.0057925,0.0057925,0.0057925
119,0.025633,0.026915,0.031154,0.0054734,0.64761,0.39183,0.42628,0.26362,0.6128,0.36099,0.38586,0.21935,0.035757,0.045987,0.071755,0.015633,0.0070795,0.0070795,0.0070795
84,0.028234,0.029354,0.03423,0.0062178,0.50403,0.35773,0.3795,0.22172,0.48498,0.34305,0.34943,0.17821,0.030456,0.046033,0.059374,0.039336,0.0079457,0.0079457,0.0079457
203,0.02056,0.022902,0.02336,0.0034755,0.50726,0.4513,0.40856,0.25964,0.49239,0.43545,0.39252,0.21432,0.034072,0.046044,0.083752,0.031265,0.0050005,0.0050005,0.0050005
64,0.031252,0.031705,0.036663,0.0068867,0.42022,0.23783,0.27225,0.15336,0.4087,0.23327,0.23708,0.12695,0.043248,0.046063,0.059555,0.020018,0.0084408,0.0084408,0.0084408
140,0.025992,0.026997,0.029333,0.0055102,0.58298,0.35077,0.36566,0.21644,0.63153,0.37386,0.37296,0.19453,0.034623,0.046124,0.07528,0.025186,0.0065598,0.0065598,0.0065598
18,0.044044,0.043971,0.055797,0.018069,0.3995,0.27163,0.28039,0.13623,0.41145,0.26489,0.24637,0.12247,0.042911,0.046171,0.053533,0.018972,0.0095793,0.0095793,0.0095793
173,0.023077,0.025173,0.026396,0.0043891,0.60134,0.46156,0.42277,0.23624,0.55185,0.44385,0.40232,0.20876,0.034188,0.046217,0.076404,0.025072,0.005743,0.005743,0.005743
78,0.030835,0.029676,0.033734,0.0075411,0.46424,0.33595,0.29885,0.1838,0.43624,0.30707,0.27075,0.14592,0.03679,0.046293,0.062893,0.03333,0.0080942,0.0080942,0.0080942
114,0.026057,0.027448,0.02994,0.0068307,0.48159,0.32609,0.31918,0.17341,0.4024,0.34343,0.29997,0.14829,0.038475,0.046304,0.074291,0.032195,0.0072033,0.0072033,0.0072033
200,0.020461,0.023649,0.023288,0.0041206,0.57668,0.41254,0.46212,0.26622,0.53672,0.38714,0.41097,0.21015,0.031753,0.046319,0.07868,0.02433,0.0050747,0.0050747,0.0050747
153,0.023719,0.025301,0.026949,0.0047181,0.4782,0.40137,0.39705,0.24133,0.47567,0.39388,0.38451,0.20563,0.036968,0.046331,0.076666,0.03782,0.006238,0.006238,0.006238
199,0.021439,0.025498,0.025759,0.0047024,0.55526,0.42997,0.42517,0.23681,0.51615,0.40832,0.39965,0.2018,0.032769,0.046347,0.075406,0.02937,0.0050995,0.0050995,0.0050995
100,0.027674,0.028145,0.031302,0.0067862,0.46705,0.36731,0.38906,0.22596,0.46685,0.39088,0.38313,0.20108,0.038056,0.046372,0.076421,0.027599,0.0075498,0.0075498,0.0075498
135,0.023971,0.025404,0.026756,0.005377,0.54075,0.38139,0.3904,0.2388,0.53728,0.37386,0.37618,0.19995,0.03363,0.04644,0.080003,0.033453,0.0066835,0.0066835,0.0066835
113,0.026107,0.028705,0.033183,0.0056592,0.39916,0.43074,0.35637,0.21105,0.41164,0.45573,0.34545,0.16556,0.033565,0.046448,0.066951,0.03013,0.007228,0.007228,0.007228
142,0.026383,0.024692,0.02866,0.0058938,0.58753,0.44175,0.40612,0.22705,0.57636,0.44993,0.38141,0.19269,0.035834,0.046477,0.073315,0.020499,0.0065102,0.0065102,0.0065102
178,0.022638,0.024184,0.025104,0.0047614,0.47241,0.41807,0.42091,0.25244,0.46461,0.40545,0.39668,0.20689,0.03337,0.046521,0.07962,0.018878,0.0056193,0.0056193,0.0056193
116,0.025641,0.028503,0.033075,0.0064167,0.44138,0.44591,0.38577,0.2144,0.4959,0.38299,0.37144,0.17082,0.034771,0.046704,0.066712,0.027873,0.0071538,0.0071538,0.0071538
179,0.021215,0.021977,0.024706,0.0040656,0.49909,0.41653,0.39418,0.23959,0.46443,0.40722,0.37798,0.19694,0.034287,0.046713,0.08051,0.020009,0.0055945,0.0055945,0.0055945
99,0.02949,0.028823,0.032519,0.0063938,0.47895,0.36835,0.35581,0.19983,0.43393,0.38624,0.34611,0.17404,0.037352,0.04684,0.072894,0.02997,0.0075745,0.0075745,0.0075745
202,0.021831,0.023281,0.024093,0.0046832,0.5555,0.34173,0.41832,0.26171,0.55841,0.33424,0.38641,0.21679,0.032808,0.046845,0.087623,0.027718,0.0050253,0.0050253,0.0050253
70,0.030973,0.033002,0.036088,0.0088057,0.27731,0.34812,0.2422,0.12027,0.25015,0.30906,0.20741,0.098536,0.044473,0.04688,0.062385,0.024106,0.0082922,0.0082922,0.0082922
150,0.023934,0.02721,0.029556,0.0040276,0.48356,0.38626,0.38723,0.22267,0.66559,0.32341,0.37289,0.18254,0.033847,0.04691,0.067148,0.026093,0.0063122,0.0063122,0.0063122
160,0.022977,0.025307,0.029814,0.0043165,0.51486,0.41833,0.41047,0.24267,0.44727,0.37163,0.35088,0.18467,0.030408,0.046934,0.073425,0.036378,0.0060647,0.0060647,0.0060647
143,0.024748,0.026272,0.028419,0.005494,0.46185,0.39602,0.33177,0.18325,0.50784,0.3774,0.32469,0.15467,0.0357,0.046948,0.076825,0.017693,0.0064855,0.0064855,0.0064855
25,0.040994,0.040366,0.048112,0.013681,0.32352,0.37823,0.25043,0.12343,0.30079,0.36699,0.22923,0.10173,0.040429,0.047008,0.05403,0.025612,0.009406,0.009406,0.009406
73,0.030716,0.031668,0.033592,0.0068373,0.45575,0.42097,0.37375,0.17754,0.4299,0.41411,0.34093,0.15298,0.041482,0.047068,0.056259,0.025081,0.008218,0.008218,0.008218
67,0.031415,0.031495,0.036955,0.0075284,0.42715,0.27664,0.26958,0.12669,0.40488,0.25792,0.23556,0.10629,0.041049,0.047089,0.060622,0.021153,0.0083665,0.0083665,0.0083665
146,0.023351,0.026363,0.02767,0.0055593,0.48893,0.30217,0.3364,0.21165,0.49583,0.29877,0.32849,0.19172,0.034166,0.04709,0.086244,0.025749,0.0064112,0.0064112,0.0064112
151,0.023707,0.024958,0.027189,0.004906,0.55673,0.36794,0.40631,0.22685,0.56436,0.37631,0.39302,0.1979,0.032904,0.047158,0.067988,0.028038,0.0062875,0.0062875,0.0062875
54,0.031999,0.031685,0.038068,0.0089799,0.32214,0.34705,0.30019,0.16955,0.29302,0.40131,0.278,0.13901,0.034507,0.047161,0.060969,0.012087,0.0086882,0.0086882,0.0086882
95,0.027765,0.027526,0.030249,0.0073221,0.3814,0.38239,0.3461,0.18173,0.52434,0.27666,0.29296,0.12863,0.038938,0.047177,0.06398,0.033339,0.0076735,0.0076735,0.0076735
72,0.029859,0.029946,0.035556,0.0071498,0.42123,0.39668,0.37855,0.19694,0.38809,0.36606,0.33141,0.15213,0.043665,0.047187,0.056423,0.028317,0.0082428,0.0082428,0.0082428
181,0.022675,0.023321,0.024194,0.0044572,0.51956,0.4257,0.40293,0.23983,0.5077,0.4109,0.37518,0.19076,0.033579,0.047208,0.074105,0.03354,0.005545,0.005545,0.005545
175,0.023259,0.023779,0.026042,0.0043906,0.55153,0.36833,0.46845,0.25815,0.61889,0.32664,0.4091,0.22907,0.03423,0.047228,0.081595,0.017603,0.0056935,0.0056935,0.0056935
136,0.02467,0.024819,0.028454,0.0057442,0.41857,0.34377,0.35883,0.21318,0.429,0.34295,0.35516,0.18504,0.034645,0.047231,0.074119,0.03143,0.0066587,0.0066587,0.0066587
159,0.024715,0.027039,0.028392,0.0061154,0.55374,0.42337,0.43516,0.26299,0.48664,0.40589,0.40419,0.20134,0.0314,0.04725,0.069737,0.02774,0.0060895,0.0060895,0.0060895
163,0.023346,0.023019,0.026538,0.0046109,0.47115,0.41881,0.36996,0.21388,0.4509,0.3905,0.33596,0.17388,0.033782,0.047263,0.073156,0.029883,0.0059905,0.0059905,0.0059905
161,0.024474,0.025729,0.029018,0.0045672,0.5053,0.41421,0.43764,0.2623,0.49796,0.40628,0.42027,0.20204,0.031662,0.047272,0.071768,0.037752,0.00604,0.00604,0.00604
164,0.022722,0.023142,0.026671,0.0042911,0.51837,0.41279,0.36824,0.23358,0.52729,0.42866,0.37916,0.19223,0.035196,0.047328,0.076238,0.031773,0.0059658,0.0059658,0.0059658
129,0.025743,0.027693,0.029972,0.0054271,0.50918,0.4684,0.42871,0.24384,0.47743,0.4483,0.40077,0.20473,0.035889,0.047405,0.069797,0.013053,0.006832,0.006832,0.006832
165,0.022798,0.025291,0.027487,0.0048793,0.41715,0.45088,0.39086,0.24479,0.49237,0.44259,0.38919,0.19962,0.034283,0.047415,0.073573,0.028706,0.005941,0.005941,0.005941
98,0.027336,0.028229,0.030288,0.0075408,0.46978,0.41289,0.36363,0.2127,0.49709,0.42793,0.35843,0.18111,0.038405,0.047463,0.065386,0.018521,0.0075993,0.0075993,0.0075993
162,0.024936,0.025295,0.027464,0.0043107,0.53938,0.37738,0.40155,0.2269,0.45227,0.41629,0.38936,0.18506,0.034375,0.047471,0.070093,0.031041,0.0060152,0.0060152,0.0060152
155,0.023152,0.02461,0.027374,0.0051439,0.49313,0.40325,0.38801,0.20535,0.51856,0.39095,0.35999,0.16628,0.036794,0.047485,0.073631,0.015129,0.0061885,0.0061885,0.0061885
